i,r,etype,SO2,NOx,CO2,N2O,CH4
CoalOldUns,p48027,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p28069,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p05019,process,0.435494286,1.841417155,1.015740048,1.133786848,0.989486704
CoalOldUns,p41035,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p36075,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p01019,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p48019,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p30087,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p35059,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p26153,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p36111,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p34007,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p17083,process,0.810920395,1.741454509,1.015740048,1.133786848,0.989486704
CoalOldUns,p51085,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p20199,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p26003,process,0.810920395,1.741454509,1.015740048,1.133786848,0.989486704
CoalOldUns,p05049,process,0.435494286,1.841417155,1.015740048,1.133786848,0.989486704
CoalOldUns,p48215,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p37155,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p26123,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p41049,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p27153,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p05083,process,0.435494286,1.841417155,1.015740048,1.133786848,0.989486704
CoalOldUns,p37109,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p05091,process,0.435494286,1.841417155,1.015740048,1.133786848,0.989486704
CoalOldUns,p12095,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p08111,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p16041,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p13045,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p20161,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p48413,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p51167,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p37027,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p16065,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p18173,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p21001,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p21077,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p21097,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p23023,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p30097,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p48181,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p42059,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p20051,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p01065,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
