r,2010,2012,2014,2016,2018,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040,2042,2044,2046,2048,2050
p21063,0,0,0,0.014,0.013,0.02,0.038,0.023502277,0.02394784,0.02394784,0.02394784,0.02394784,0.02394784,0.02394784,0.02394784,0.02394784,0.02394784,0.02394784,0.02394784,0.02394784,0.02394784
p21065,0.00025,0.0005,0.019,0.041,0.204,0.221,0.206,0.128751605,0.131192516,0.131192516,0.131192516,0.131192516,0.131192516,0.131192516,0.131192516,0.131192516,0.131192516,0.131192516,0.131192516,0.131192516,0.131192516
p21067,0.0025,0.005,0.191,0.212,0.195,0.321,0.745,0.465958189,0.474791962,0.474791962,0.474791962,0.474791962,0.474791962,0.474791962,0.474791962,0.474791962,0.474791962,0.474791962,0.474791962,0.474791962,0.474791962
p21069,0,0,0,0.007,0.011,0.016,0.057,0.035764335,0.036442366,0.036442366,0.036442366,0.036442366,0.036442366,0.036442366,0.036442366,0.036442366,0.036442366,0.036442366,0.036442366,0.036442366,0.036442366
p21073,0.00075,0.0015,0.057,0.048,0.056,0.084,0.196,0.122620576,0.124945253,0.124945253,0.124945253,0.124945253,0.124945253,0.124945253,0.124945253,0.124945253,0.124945253,0.124945253,0.124945253,0.124945253,0.124945253
p21077,0,0,0,0.007,0.002,0.005,0.016,0.010218381,0.010412105,0.010412105,0.010412105,0.010412105,0.010412105,0.010412105,0.010412105,0.010412105,0.010412105,0.010412105,0.010412105,0.010412105,0.010412105
p21079,0,0,0,0.007,0.067,0.068,0.049,0.030655144,0.031236314,0.031236314,0.031236314,0.031236314,0.031236314,0.031236314,0.031236314,0.031236314,0.031236314,0.031236314,0.031236314,0.031236314,0.031236314
p21081,0.00025,0.0005,0.019,0.014,0.009,0.02,0.052,0.03269882,0.033318734,0.033318734,0.033318734,0.033318734,0.033318734,0.033318734,0.033318734,0.033318734,0.033318734,0.033318734,0.033318734,0.033318734,0.033318734
p21087,0,0,0,0.007,0.019,0.021,0.028,0.017371248,0.017700578,0.017700578,0.017700578,0.017700578,0.017700578,0.017700578,0.017700578,0.017700578,0.017700578,0.017700578,0.017700578,0.017700578,0.017700578
p21089,0.002,0.004,0.153,0.144,0.314,0.466,0.968,0.605950014,0.617437793,0.617437793,0.617437793,0.617437793,0.617437793,0.617437793,0.617437793,0.617437793,0.617437793,0.617437793,0.617437793,0.617437793,0.617437793
p21093,0.00125,0.0025,0.096,0.082,0.093,0.137,0.304,0.190061893,0.193665143,0.193665143,0.193665143,0.193665143,0.193665143,0.193665143,0.193665143,0.193665143,0.193665143,0.193665143,0.193665143,0.193665143,0.193665143
p21095,0.0005,0.001,0.038,0.041,0.156,0.177,0.307,0.192105569,0.195747563,0.195747563,0.195747563,0.195747563,0.195747563,0.195747563,0.195747563,0.195747563,0.195747563,0.195747563,0.195747563,0.195747563,0.195747563
p21097,0,0,0,0,0.002,0.005,0.013,0.008174705,0.008329684,0.008329684,0.008329684,0.008329684,0.008329684,0.008329684,0.008329684,0.008329684,0.008329684,0.008329684,0.008329684,0.008329684,0.008329684
p21099,0.00025,0.0005,0.019,0.014,0.011,0.021,0.054,0.033720658,0.034359945,0.034359945,0.034359945,0.034359945,0.034359945,0.034359945,0.034359945,0.034359945,0.034359945,0.034359945,0.034359945,0.034359945,0.034359945
p21103,0.00025,0.0005,0.019,0.034,0.206,0.221,0.188,0.117511385,0.119739201,0.119739201,0.119739201,0.119739201,0.119739201,0.119739201,0.119739201,0.119739201,0.119739201,0.119739201,0.119739201,0.119739201,0.119739201
p21109,0.00025,0.0005,0.019,0.027,0.117,0.132,0.136,0.084812565,0.086420467,0.086420467,0.086420467,0.086420467,0.086420467,0.086420467,0.086420467,0.086420467,0.086420467,0.086420467,0.086420467,0.086420467,0.086420467
p21111,0.01225,0.0245,0.937,0.911,1.126,1.636,3.821,2.391101234,2.436432437,2.436432437,2.436432437,2.436432437,2.436432437,2.436432437,2.436432437,2.436432437,2.436432437,2.436432437,2.436432437,2.436432437,2.436432437
p21113,0,0,0,0.007,0.006,0.011,0.028,0.017371248,0.017700578,0.017700578,0.017700578,0.017700578,0.017700578,0.017700578,0.017700578,0.017700578,0.017700578,0.017700578,0.017700578,0.017700578,0.017700578
p21115,0.002,0.004,0.153,0.233,1.966,2.068,1.602,1.00242321,1.021427445,1.021427445,1.021427445,1.021427445,1.021427445,1.021427445,1.021427445,1.021427445,1.021427445,1.021427445,1.021427445,1.021427445,1.021427445
p21117,0.001,0.002,0.076,0.11,0.065,0.137,0.361,0.225826228,0.230107508,0.230107508,0.230107508,0.230107508,0.230107508,0.230107508,0.230107508,0.230107508,0.230107508,0.230107508,0.230107508,0.230107508,0.230107508
p21121,0.00125,0.0025,0.096,0.205,0.247,0.493,1.284,0.803164774,0.818391409,0.818391409,0.818391409,0.818391409,0.818391409,0.818391409,0.818391409,0.818391409,0.818391409,0.818391409,0.818391409,0.818391409,0.818391409
p21123,0,0,0,0.007,0.006,0.012,0.034,0.021458601,0.02186542,0.02186542,0.02186542,0.02186542,0.02186542,0.02186542,0.02186542,0.02186542,0.02186542,0.02186542,0.02186542,0.02186542,0.02186542
p21125,0.00075,0.0015,0.057,0.075,0.039,0.089,0.243,0.152253882,0.155140356,0.155140356,0.155140356,0.155140356,0.155140356,0.155140356,0.155140356,0.155140356,0.155140356,0.155140356,0.155140356,0.155140356,0.155140356
p21129,0,0,0,0.014,0.009,0.016,0.049,0.030655144,0.031236314,0.031236314,0.031236314,0.031236314,0.031236314,0.031236314,0.031236314,0.031236314,0.031236314,0.031236314,0.031236314,0.031236314,0.031236314
p21135,0,0,0,0.007,0.006,0.011,0.028,0.017371248,0.017700578,0.017700578,0.017700578,0.017700578,0.017700578,0.017700578,0.017700578,0.017700578,0.017700578,0.017700578,0.017700578,0.017700578,0.017700578
p21137,0.00025,0.0005,0.019,0.007,0.019,0.023,0.041,0.025545953,0.026030261,0.026030261,0.026030261,0.026030261,0.026030261,0.026030261,0.026030261,0.026030261,0.026030261,0.026030261,0.026030261,0.026030261,0.026030261
p21151,0.0005,0.001,0.038,0.041,0.03,0.054,0.132,0.082768889,0.084338046,0.084338046,0.084338046,0.084338046,0.084338046,0.084338046,0.084338046,0.084338046,0.084338046,0.084338046,0.084338046,0.084338046,0.084338046
p21153,0.0005,0.001,0.038,0.048,0.045,0.095,0.253,0.158384911,0.161387619,0.161387619,0.161387619,0.161387619,0.161387619,0.161387619,0.161387619,0.161387619,0.161387619,0.161387619,0.161387619,0.161387619,0.161387619
p21155,0.0005,0.001,0.038,0.034,0.266,0.273,0.211,0.131817119,0.134316147,0.134316147,0.134316147,0.134316147,0.134316147,0.134316147,0.134316147,0.134316147,0.134316147,0.134316147,0.134316147,0.134316147,0.134316147
p21161,0.00025,0.0005,0.019,0.021,0.063,0.073,0.083,0.052113745,0.053101733,0.053101733,0.053101733,0.053101733,0.053101733,0.053101733,0.053101733,0.053101733,0.053101733,0.053101733,0.053101733,0.053101733,0.053101733
p21163,0.00075,0.0015,0.057,0.13,0.333,0.357,0.3,0.188018217,0.191582722,0.191582722,0.191582722,0.191582722,0.191582722,0.191582722,0.191582722,0.191582722,0.191582722,0.191582722,0.191582722,0.191582722,0.191582722
p21165,0,0,0,0,0.002,0.004,0.01,0.006131029,0.006247263,0.006247263,0.006247263,0.006247263,0.006247263,0.006247263,0.006247263,0.006247263,0.006247263,0.006247263,0.006247263,0.006247263,0.006247263
p21167,0.00025,0.0005,0.019,0.014,0.009,0.016,0.041,0.025545953,0.026030261,0.026030261,0.026030261,0.026030261,0.026030261,0.026030261,0.026030261,0.026030261,0.026030261,0.026030261,0.026030261,0.026030261,0.026030261
p21173,0,0,0,0.007,0.004,0.011,0.029,0.018393086,0.018741788,0.018741788,0.018741788,0.018741788,0.018741788,0.018741788,0.018741788,0.018741788,0.018741788,0.018741788,0.018741788,0.018741788,0.018741788
p21175,0.0005,0.001,0.038,0.055,0.178,0.237,0.364,0.227869904,0.232189929,0.232189929,0.232189929,0.232189929,0.232189929,0.232189929,0.232189929,0.232189929,0.232189929,0.232189929,0.232189929,0.232189929,0.232189929
p21179,0.00025,0.0005,0.019,0.014,0.017,0.025,0.06,0.037808011,0.038524787,0.038524787,0.038524787,0.038524787,0.038524787,0.038524787,0.038524787,0.038524787,0.038524787,0.038524787,0.038524787,0.038524787,0.038524787
p21181,0,0,0,0,0.002,0.004,0.008,0.005109191,0.005206053,0.005206053,0.005206053,0.005206053,0.005206053,0.005206053,0.005206053,0.005206053,0.005206053,0.005206053,0.005206053,0.005206053,0.005206053
p21185,0.00075,0.0015,0.057,0.055,0.056,0.087,0.209,0.130795281,0.133274937,0.133274937,0.133274937,0.133274937,0.133274937,0.133274937,0.133274937,0.133274937,0.133274937,0.133274937,0.133274937,0.133274937,0.133274937
p21187,0.00025,0.0005,0.019,0.007,0.015,0.02,0.034,0.021458601,0.02186542,0.02186542,0.02186542,0.02186542,0.02186542,0.02186542,0.02186542,0.02186542,0.02186542,0.02186542,0.02186542,0.02186542,0.02186542
p21189,0,0,0,0.007,0.002,0.005,0.016,0.010218381,0.010412105,0.010412105,0.010412105,0.010412105,0.010412105,0.010412105,0.010412105,0.010412105,0.010412105,0.010412105,0.010412105,0.010412105,0.010412105
p21191,0,0,0,0.007,0.011,0.016,0.033,0.020436763,0.020824209,0.020824209,0.020824209,0.020824209,0.020824209,0.020824209,0.020824209,0.020824209,0.020824209,0.020824209,0.020824209,0.020824209,0.020824209
p21197,0,0,0,0.007,0.002,0.007,0.018,0.011240219,0.011453315,0.011453315,0.011453315,0.011453315,0.011453315,0.011453315,0.011453315,0.011453315,0.011453315,0.011453315,0.011453315,0.011453315,0.011453315
p21201,0,0,0,0,0,0.002,0.003,0.002043676,0.002082421,0.002082421,0.002082421,0.002082421,0.002082421,0.002082421,0.002082421,0.002082421,0.002082421,0.002082421,0.002082421,0.002082421,0.002082421
p21203,0.00025,0.0005,0.019,0.027,0.015,0.034,0.087,0.054157421,0.055184154,0.055184154,0.055184154,0.055184154,0.055184154,0.055184154,0.055184154,0.055184154,0.055184154,0.055184154,0.055184154,0.055184154,0.055184154
p21205,0.00025,0.0005,0.019,0.014,0.05,0.055,0.059,0.036786173,0.037483576,0.037483576,0.037483576,0.037483576,0.037483576,0.037483576,0.037483576,0.037483576,0.037483576,0.037483576,0.037483576,0.037483576,0.037483576
p21209,0.00025,0.0005,0.019,0.027,0.022,0.039,0.103,0.064375802,0.065596258,0.065596258,0.065596258,0.065596258,0.065596258,0.065596258,0.065596258,0.065596258,0.065596258,0.065596258,0.065596258,0.065596258,0.065596258
p21211,0.0015,0.003,0.115,0.096,0.294,0.334,0.361,0.225826228,0.230107508,0.230107508,0.230107508,0.230107508,0.230107508,0.230107508,0.230107508,0.230107508,0.230107508,0.230107508,0.230107508,0.230107508,0.230107508
p21215,0,0,0,0,0.002,0.004,0.01,0.006131029,0.006247263,0.006247263,0.006247263,0.006247263,0.006247263,0.006247263,0.006247263,0.006247263,0.006247263,0.006247263,0.006247263,0.006247263,0.006247263
p21217,0,0,0,0,0.004,0.004,0.01,0.006131029,0.006247263,0.006247263,0.006247263,0.006247263,0.006247263,0.006247263,0.006247263,0.006247263,0.006247263,0.006247263,0.006247263,0.006247263,0.006247263
p21223,0,0,0,0.007,0.004,0.011,0.026,0.01634941,0.016659367,0.016659367,0.016659367,0.016659367,0.016659367,0.016659367,0.016659367,0.016659367,0.016659367,0.016659367,0.016659367,0.016659367,0.016659367
p21229,0,0,0,0.007,0.002,0.005,0.015,0.009196543,0.009370894,0.009370894,0.009370894,0.009370894,0.009370894,0.009370894,0.009370894,0.009370894,0.009370894,0.009370894,0.009370894,0.009370894,0.009370894
p21235,0.00125,0.0025,0.096,0.137,0.81,0.896,0.852,0.533399506,0.543511852,0.543511852,0.543511852,0.543511852,0.543511852,0.543511852,0.543511852,0.543511852,0.543511852,0.543511852,0.543511852,0.543511852,0.543511852
p21237,0.00025,0.0005,0.019,0.021,0.015,0.036,0.093,0.058244774,0.059348996,0.059348996,0.059348996,0.059348996,0.059348996,0.059348996,0.059348996,0.059348996,0.059348996,0.059348996,0.059348996,0.059348996,0.059348996
p21239,0.00025,0.0005,0.019,0.021,0.024,0.036,0.082,0.051091907,0.052060523,0.052060523,0.052060523,0.052060523,0.052060523,0.052060523,0.052060523,0.052060523,0.052060523,0.052060523,0.052060523,0.052060523,0.052060523
p21019,0.0025,0.005,0.191,0.192,0.284,0.496,1.238,0.774553306,0.789237516,0.789237516,0.789237516,0.789237516,0.789237516,0.789237516,0.789237516,0.789237516,0.789237516,0.789237516,0.789237516,0.789237516,0.789237516
p21025,0.0005,0.001,0.038,0.062,0.078,0.146,0.348,0.217651523,0.221777825,0.221777825,0.221777825,0.221777825,0.221777825,0.221777825,0.221777825,0.221777825,0.221777825,0.221777825,0.221777825,0.221777825,0.221777825
p21043,0.00175,0.0035,0.134,0.192,1.113,1.262,1.298,0.812361317,0.827762303,0.827762303,0.827762303,0.827762303,0.827762303,0.827762303,0.827762303,0.827762303,0.827762303,0.827762303,0.827762303,0.827762303,0.827762303
p21071,0.001,0.002,0.076,0.082,0.154,0.239,0.495,0.309616955,0.315486765,0.315486765,0.315486765,0.315486765,0.315486765,0.315486765,0.315486765,0.315486765,0.315486765,0.315486765,0.315486765,0.315486765,0.315486765
p21119,0.0005,0.001,0.038,0.048,0.074,0.125,0.278,0.173712483,0.177005776,0.177005776,0.177005776,0.177005776,0.177005776,0.177005776,0.177005776,0.177005776,0.177005776,0.177005776,0.177005776,0.177005776,0.177005776
p21127,0.00075,0.0015,0.057,0.062,0.117,0.18,0.358,0.223782551,0.228025087,0.228025087,0.228025087,0.228025087,0.228025087,0.228025087,0.228025087,0.228025087,0.228025087,0.228025087,0.228025087,0.228025087,0.228025087
p21131,0.0005,0.001,0.038,0.055,0.288,0.328,0.34,0.212542332,0.216571772,0.216571772,0.216571772,0.216571772,0.216571772,0.216571772,0.216571772,0.216571772,0.216571772,0.216571772,0.216571772,0.216571772,0.216571772
p21133,0.0015,0.003,0.115,0.116,0.325,0.432,0.652,0.407713416,0.415442967,0.415442967,0.415442967,0.415442967,0.415442967,0.415442967,0.415442967,0.415442967,0.415442967,0.415442967,0.415442967,0.415442967,0.415442967
p21159,0.0005,0.001,0.038,0.041,0.128,0.157,0.203,0.126707929,0.129110095,0.129110095,0.129110095,0.129110095,0.129110095,0.129110095,0.129110095,0.129110095,0.129110095,0.129110095,0.129110095,0.129110095,0.129110095
p21193,0.0015,0.003,0.115,0.151,0.619,0.716,0.777,0.486394952,0.495616171,0.495616171,0.495616171,0.495616171,0.495616171,0.495616171,0.495616171,0.495616171,0.495616171,0.495616171,0.495616171,0.495616171,0.495616171
p21195,0.0025,0.005,0.191,0.199,0.418,0.591,1.146,0.71733037,0.730929731,0.730929731,0.730929731,0.730929731,0.730929731,0.730929731,0.730929731,0.730929731,0.730929731,0.730929731,0.730929731,0.730929731,0.730929731
p39007,0.067,0.134,0.42,0.545,0.782,1.295,1.782,1.388678024,1.437807522,1.437807522,1.437807522,1.437807522,1.437807522,1.437807522,1.437807522,1.437807522,1.437807522,1.437807522,1.437807522,1.437807522,1.437807522
p39029,0.098,0.196,0.615,0.744,1.12,1.819,2.486,1.929230397,2.314737042,2.314737042,2.314737042,2.314737042,2.314737042,2.314737042,2.314737042,2.314737042,2.314737042,2.314737042,2.314737042,2.314737042,2.314737042
p39035,1.172,2.344,7.355,9.713,14.456,23.077,30.875,24.22778216,25.4316287,25.4316287,25.4316287,25.4316287,25.4316287,25.4316287,25.4316287,25.4316287,25.4316287,25.4316287,25.4316287,25.4316287,25.4316287
p39043,0.12775,0.2555,0.802,1.283,2.465,3.975,4.773,3.675551769,3.838565247,3.838565247,3.838565247,3.838565247,3.838565247,3.838565247,3.838565247,3.838565247,3.838565247,3.838565247,3.838565247,3.838565247,3.838565247
p39051,0.046,0.092,0.289,0.342,0.467,0.713,0.934,0.723461399,0.785963801,0.785963801,0.785963801,0.785963801,0.785963801,0.785963801,0.785963801,0.785963801,0.785963801,0.785963801,0.785963801,0.785963801,0.785963801
p39055,0.08725,0.1745,0.548,0.796,1.151,1.731,2.24,1.730993799,1.864035561,1.864035561,1.864035561,1.864035561,1.864035561,1.864035561,1.864035561,1.864035561,1.864035561,1.864035561,1.864035561,1.864035561,1.864035561
p39085,0.2125,0.425,1.334,1.622,2.201,3.417,4.515,3.501839286,3.606409168,3.606409168,3.606409168,3.606409168,3.606409168,3.606409168,3.606409168,3.606409168,3.606409168,3.606409168,3.606409168,3.606409168,3.606409168
p39093,0.23625,0.4725,1.483,1.819,2.616,4.268,5.846,4.531852125,4.782688934,4.782688934,4.782688934,4.782688934,4.782688934,4.782688934,4.782688934,4.782688934,4.782688934,4.782688934,4.782688934,4.782688934,4.782688934
p39095,0.4985,0.997,3.128,3.766,5.304,8.263,10.949,8.491474895,9.264415033,9.264415033,9.264415033,9.264415033,9.264415033,9.264415033,9.264415033,9.264415033,9.264415033,9.264415033,9.264415033,9.264415033,9.264415033
p39099,0.26275,0.5255,1.649,2.065,3.078,4.894,6.53,5.174588312,6.09941394,6.09941394,6.09941394,6.09941394,6.09941394,6.09941394,6.09941394,6.09941394,6.09941394,6.09941394,6.09941394,6.09941394,6.09941394
p39103,0.137,0.274,0.86,1.047,1.563,2.575,3.551,2.750788257,3.260579971,3.260579971,3.260579971,3.260579971,3.260579971,3.260579971,3.260579971,3.260579971,3.260579971,3.260579971,3.260579971,3.260579971,3.260579971
p39123,0.038,0.076,0.238,0.35,0.621,1.12,1.618,1.318171193,1.46194674,1.46194674,1.46194674,1.46194674,1.46194674,1.46194674,1.46194674,1.46194674,1.46194674,1.46194674,1.46194674,1.46194674,1.46194674
p39133,0.1335,0.267,0.838,1.068,1.581,2.528,3.428,2.730351495,3.091274177,3.091274177,3.091274177,3.091274177,3.091274177,3.091274177,3.091274177,3.091274177,3.091274177,3.091274177,3.091274177,3.091274177,3.091274177
p39143,0.041,0.082,0.257,0.318,0.467,0.772,1.063,0.819514184,0.912473317,0.912473317,0.912473317,0.912473317,0.912473317,0.912473317,0.912473317,0.912473317,0.912473317,0.912473317,0.912473317,0.912473317,0.912473317
p39151,0.36525,0.7305,2.292,2.779,3.776,5.796,7.566,5.829586556,6.036618609,6.036618609,6.036618609,6.036618609,6.036618609,6.036618609,6.036618609,6.036618609,6.036618609,6.036618609,6.036618609,6.036618609,6.036618609
p39153,0.7095,1.419,4.452,8.07,16.76,22.449,26.323,20.23443873,21.01576773,21.01576773,21.01576773,21.01576773,21.01576773,21.01576773,21.01576773,21.01576773,21.01576773,21.01576773,21.01576773,21.01576773,21.01576773
p39155,0.297,0.594,1.864,2.224,3.058,4.585,5.898,4.566594622,4.995207409,4.995207409,4.995207409,4.995207409,4.995207409,4.995207409,4.995207409,4.995207409,4.995207409,4.995207409,4.995207409,4.995207409,4.995207409
p39173,0.132,0.264,0.828,0.991,1.387,2.138,2.812,2.181624417,2.439343178,2.439343178,2.439343178,2.439343178,2.439343178,2.439343178,2.439343178,2.439343178,2.439343178,2.439343178,2.439343178,2.439343178,2.439343178
p39001,0.0135,0.027,0.085,0.115,0.211,0.398,0.597,0.472089218,0.566416137,0.566416137,0.566416137,0.566416137,0.566416137,0.566416137,0.566416137,0.566416137,0.566416137,0.566416137,0.566416137,0.566416137,0.566416137
p39003,0.0845,0.169,0.53,0.639,0.859,1.325,1.735,1.327367736,1.352532366,1.352532366,1.352532366,1.352532366,1.352532366,1.352532366,1.352532366,1.352532366,1.352532366,1.352532366,1.352532366,1.352532366,1.352532366
p39005,0.0305,0.061,0.191,0.242,0.414,0.742,1.078,0.838929108,1.163993646,1.163993646,1.163993646,1.163993646,1.163993646,1.163993646,1.163993646,1.163993646,1.163993646,1.163993646,1.163993646,1.163993646,1.163993646
p39009,0.03125,0.0625,0.196,0.342,0.752,2.286,5.178,5.046858545,5.812826679,5.812826679,5.812826679,5.812826679,5.812826679,5.812826679,5.812826679,5.812826679,5.812826679,5.812826679,5.812826679,5.812826679,5.812826679
p39011,0.0255,0.051,0.16,0.213,0.312,0.533,0.756,0.598797147,0.62552777,0.62552777,0.62552777,0.62552777,0.62552777,0.62552777,0.62552777,0.62552777,0.62552777,0.62552777,0.62552777,0.62552777,0.62552777
p39013,0.04175,0.0835,0.262,0.336,0.477,0.792,1.087,0.83790727,0.858034895,0.858034895,0.858034895,0.858034895,0.858034895,0.858034895,0.858034895,0.858034895,0.858034895,0.858034895,0.858034895,0.858034895,0.858034895
p39019,0.01525,0.0305,0.096,0.126,0.196,0.348,0.505,0.392385844,0.443838995,0.443838995,0.443838995,0.443838995,0.443838995,0.443838995,0.443838995,0.443838995,0.443838995,0.443838995,0.443838995,0.443838995,0.443838995
p39021,0.0205,0.041,0.129,0.168,0.266,0.475,0.688,0.535443182,0.635213515,0.635213515,0.635213515,0.635213515,0.635213515,0.635213515,0.635213515,0.635213515,0.635213515,0.635213515,0.635213515,0.635213515,0.635213515
p39031,0.018,0.036,0.113,0.152,0.244,0.436,0.625,0.490482304,0.574552097,0.574552097,0.574552097,0.574552097,0.574552097,0.574552097,0.574552097,0.574552097,0.574552097,0.574552097,0.574552097,0.574552097,0.574552097
p39033,0.0215,0.043,0.135,0.19,0.296,0.503,0.711,0.563032812,0.585373365,0.585373365,0.585373365,0.585373365,0.585373365,0.585373365,0.585373365,0.585373365,0.585373365,0.585373365,0.585373365,0.585373365,0.585373365
p39037,0.0315,0.063,0.198,0.263,0.387,0.656,0.923,0.73367978,0.766679588,0.766679588,0.766679588,0.766679588,0.766679588,0.766679588,0.766679588,0.766679588,0.766679588,0.766679588,0.766679588,0.766679588,0.766679588
p39039,0.03175,0.0635,0.199,0.244,0.334,0.53,0.709,0.549748916,0.564943841,0.564943841,0.564943841,0.564943841,0.564943841,0.564943841,0.564943841,0.564943841,0.564943841,0.564943841,0.564943841,0.564943841,0.564943841
p39041,0.13125,0.2625,0.824,1.162,1.864,3.167,4.746,4.082243346,4.471977341,4.471977341,4.471977341,4.471977341,4.471977341,4.471977341,4.471977341,4.471977341,4.471977341,4.471977341,4.471977341,4.471977341,4.471977341
p39045,0.10325,0.2065,0.648,0.813,1.133,1.803,2.413,1.865876433,1.915568137,1.915568137,1.915568137,1.915568137,1.915568137,1.915568137,1.915568137,1.915568137,1.915568137,1.915568137,1.915568137,1.915568137,1.915568137
p39049,1.0775,2.155,6.762,8.819,13.646,26.366,44.081,39.69943335,44.67371658,44.67371658,44.67371658,44.67371658,44.67371658,44.67371658,44.67371658,44.67371658,44.67371658,44.67371658,44.67371658,44.67371658,44.67371658
p39053,0.02025,0.0405,0.127,0.223,0.465,0.753,0.914,0.699959122,0.714289737,0.714289737,0.714289737,0.714289737,0.714289737,0.714289737,0.714289737,0.714289737,0.714289737,0.714289737,0.714289737,0.714289737,0.714289737
p39059,0.04125,0.0825,0.259,0.437,0.684,1.216,1.718,1.543997421,1.757810379,1.757810379,1.757810379,1.757810379,1.757810379,1.757810379,1.757810379,1.757810379,1.757810379,1.757810379,1.757810379,1.757810379,1.757810379
p39063,0.09975,0.1995,0.626,0.736,0.962,1.414,1.787,1.3692631,1.39734316,1.39734316,1.39734316,1.39734316,1.39734316,1.39734316,1.39734316,1.39734316,1.39734316,1.39734316,1.39734316,1.39734316,1.39734316
p39065,0.015,0.03,0.094,0.126,0.184,0.313,0.433,0.336184746,0.346800567,0.346800567,0.346800567,0.346800567,0.346800567,0.346800567,0.346800567,0.346800567,0.346800567,0.346800567,0.346800567,0.346800567,0.346800567
p39067,0.009,0.018,0.056,0.074,0.106,0.186,0.263,0.203345789,0.208791753,0.208791753,0.208791753,0.208791753,0.208791753,0.208791753,0.208791753,0.208791753,0.208791753,0.208791753,0.208791753,0.208791753,0.208791753
p39069,0.0405,0.081,0.254,0.384,0.53,0.739,0.903,0.741854485,0.800993549,0.800993549,0.800993549,0.800993549,0.800993549,0.800993549,0.800993549,0.800993549,0.800993549,0.800993549,0.800993549,0.800993549,0.800993549
p39071,0.02075,0.0415,0.13,0.207,0.389,0.744,1.117,1.143436872,1.370337249,1.370337249,1.370337249,1.370337249,1.370337249,1.370337249,1.370337249,1.370337249,1.370337249,1.370337249,1.370337249,1.370337249,1.370337249
p39073,0.01425,0.0285,0.089,0.116,0.169,0.298,0.429,0.333119232,0.342616353,0.342616353,0.342616353,0.342616353,0.342616353,0.342616353,0.342616353,0.342616353,0.342616353,0.342616353,0.342616353,0.342616353,0.342616353
p39075,0.01425,0.0285,0.089,0.118,0.173,0.308,0.446,0.347424966,0.358253882,0.358253882,0.358253882,0.358253882,0.358253882,0.358253882,0.358253882,0.358253882,0.358253882,0.358253882,0.358253882,0.358253882,0.358253882
p39077,0.05675,0.1135,0.356,0.426,0.58,0.895,1.18,0.911479616,0.960577198,0.960577198,0.960577198,0.960577198,0.960577198,0.960577198,0.960577198,0.960577198,0.960577198,0.960577198,0.960577198,0.960577198,0.960577198
p39079,0.01625,0.0325,0.102,0.14,0.209,0.352,0.482,0.369905405,0.38434226,0.38434226,0.38434226,0.38434226,0.38434226,0.38434226,0.38434226,0.38434226,0.38434226,0.38434226,0.38434226,0.38434226,0.38434226
p39081,0.04375,0.0875,0.275,0.368,0.588,1.022,1.433,1.116869081,1.155012339,1.155012339,1.155012339,1.155012339,1.155012339,1.155012339,1.155012339,1.155012339,1.155012339,1.155012339,1.155012339,1.155012339,1.155012339
p39083,0.03025,0.0605,0.19,0.247,0.36,0.63,0.9,0.703024636,0.725367738,0.725367738,0.725367738,0.725367738,0.725367738,0.725367738,0.725367738,0.725367738,0.725367738,0.725367738,0.725367738,0.725367738,0.725367738
p39087,0.06125,0.1225,0.384,0.458,0.606,0.914,1.177,0.900239396,0.917306401,0.917306401,0.917306401,0.917306401,0.917306401,0.917306401,0.917306401,0.917306401,0.917306401,0.917306401,0.917306401,0.917306401,0.917306401
p39089,0.17325,0.3465,1.087,1.291,1.709,2.569,3.308,2.54131144,3.198264872,3.198264872,3.198264872,3.198264872,3.198264872,3.198264872,3.198264872,3.198264872,3.198264872,3.198264872,3.198264872,3.198264872,3.198264872
p39091,0.03125,0.0625,0.196,0.252,0.36,0.609,0.856,0.669303978,0.692598668,0.692598668,0.692598668,0.692598668,0.692598668,0.692598668,0.692598668,0.692598668,0.692598668,0.692598668,0.692598668,0.692598668,0.692598668
p39101,0.042,0.084,0.264,0.402,0.711,1.208,1.655,1.313062002,1.512421282,1.512421282,1.512421282,1.512421282,1.512421282,1.512421282,1.512421282,1.512421282,1.512421282,1.512421282,1.512421282,1.512421282,1.512421282
p39105,0.009,0.018,0.056,0.076,0.115,0.208,0.302,0.230935418,0.23531356,0.23531356,0.23531356,0.23531356,0.23531356,0.23531356,0.23531356,0.23531356,0.23531356,0.23531356,0.23531356,0.23531356,0.23531356
p39107,0.02125,0.0425,0.133,0.186,0.282,0.494,0.705,0.560989136,0.587533275,0.587533275,0.587533275,0.587533275,0.587533275,0.587533275,0.587533275,0.587533275,0.587533275,0.587533275,0.587533275,0.587533275,0.587533275
p39111,0.00825,0.0165,0.052,0.081,0.115,0.191,0.265,0.205389465,0.209813591,0.209813591,0.209813591,0.209813591,0.209813591,0.209813591,0.209813591,0.209813591,0.209813591,0.209813591,0.209813591,0.209813591,0.209813591
p39115,0.00675,0.0135,0.042,0.058,0.088,0.158,0.227,0.176777997,0.181720281,0.181720281,0.181720281,0.181720281,0.181720281,0.181720281,0.181720281,0.181720281,0.181720281,0.181720281,0.181720281,0.181720281,0.181720281
p39117,0.014,0.028,0.088,0.116,0.173,0.313,0.456,0.354577833,0.367663521,0.367663521,0.367663521,0.367663521,0.367663521,0.367663521,0.367663521,0.367663521,0.367663521,0.367663521,0.367663521,0.367663521,0.367663521
