r,2010,2012,2014,2016,2018,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040,2042,2044,2046,2048,2050
p06001,25.37075,50.7415,125.752,217.229,321.715,422.641,561.817,537.6697676,555.61646,555.61646,555.61646,555.61646,555.61646,555.61646,555.61646,555.61646,555.61646,555.61646,555.61646,555.61646,555.61646
p06003,0.053,0.106,0.263,0.435,0.606,0.853,1.222,1.191463265,1.249580899,1.249580899,1.249580899,1.249580899,1.249580899,1.249580899,1.249580899,1.249580899,1.249580899,1.249580899,1.249580899,1.249580899,1.249580899
p06005,0.798,1.596,3.955,8.588,13.57,17.662,23.67,22.47022057,23.15446955,23.15446955,23.15446955,23.15446955,23.15446955,23.15446955,23.15446955,23.15446955,23.15446955,23.15446955,23.15446955,23.15446955,23.15446955
p06007,4.915,9.83,24.362,56.495,86.654,106.26,142.513,135.265823,139.1485368,139.1485368,139.1485368,139.1485368,139.1485368,139.1485368,139.1485368,139.1485368,139.1485368,139.1485368,139.1485368,139.1485368,139.1485368
p06009,1.2125,2.425,6.01,12.892,20.742,30.749,42.922,40.45457173,41.66060271,41.66060271,41.66060271,41.66060271,41.66060271,41.66060271,41.66060271,41.66060271,41.66060271,41.66060271,41.66060271,41.66060271,41.66060271
p06011,0.38225,0.7645,1.895,4.049,6.597,9.493,12.911,12.14863358,12.46857021,12.46857021,12.46857021,12.46857021,12.46857021,12.46857021,12.46857021,12.46857021,12.46857021,12.46857021,12.46857021,12.46857021,12.46857021
p06013,16.67625,33.3525,82.657,160.326,238.563,311.146,424.585,405.538944,418.6166223,418.6166223,418.6166223,418.6166223,418.6166223,418.6166223,418.6166223,418.6166223,418.6166223,418.6166223,418.6166223,418.6166223,418.6166223
p06015,0.26975,0.5395,1.337,1.426,1.535,1.673,2.196,2.115204938,2.214167961,2.214167961,2.214167961,2.214167961,2.214167961,2.214167961,2.214167961,2.214167961,2.214167961,2.214167961,2.214167961,2.214167961,2.214167961
p06017,4.05175,8.1035,20.083,41.781,67.045,95.85,129.042,121.611,124.7787911,124.7787911,124.7787911,124.7787911,124.7787911,124.7787911,124.7787911,124.7787911,124.7787911,124.7787911,124.7787911,124.7787911,124.7787911
p06019,15.08775,30.1755,74.784,145.493,223.68,302.377,406.365,386.4121778,398.4659719,398.4659719,398.4659719,398.4659719,398.4659719,398.4659719,398.4659719,398.4659719,398.4659719,398.4659719,398.4659719,398.4659719,398.4659719
p06021,0.68,1.36,3.37,9.283,15.135,18.354,24.192,22.76144444,23.26932458,23.26932458,23.26932458,23.26932458,23.26932458,23.26932458,23.26932458,23.26932458,23.26932458,23.26932458,23.26932458,23.26932458,23.26932458
p06023,2.14675,4.2935,10.641,17.292,23.736,32.51,44.216,42.3991297,43.74437242,43.74437242,43.74437242,43.74437242,43.74437242,43.74437242,43.74437242,43.74437242,43.74437242,43.74437242,43.74437242,43.74437242,43.74437242
p06031,2.0535,4.107,10.178,21.57,35.221,49.339,66.111,62.19826539,63.72690049,63.72690049,63.72690049,63.72690049,63.72690049,63.72690049,63.72690049,63.72690049,63.72690049,63.72690049,63.72690049,63.72690049,63.72690049
p06033,1.664,3.328,8.248,19.151,30.408,39.052,52.905,50.37968553,52.03849514,52.03849514,52.03849514,52.03849514,52.03849514,52.03849514,52.03849514,52.03849514,52.03849514,52.03849514,52.03849514,52.03849514,52.03849514
p06039,2.48325,4.9665,12.308,25.584,42.181,59.172,82.354,78.61000767,81.08772194,81.08772194,81.08772194,81.08772194,81.08772194,81.08772194,81.08772194,81.08772194,81.08772194,81.08772194,81.08772194,81.08772194,81.08772194
