sc_point_gid,fed_frac
45998,0.0
45999,0.0
46000,0.012177
46001,0.0
46002,0.013274
46004,0.0
46005,0.0
46006,0.0
46007,0.0
46008,0.0
46013,0.0
46014,0.0
46015,0.002324
46016,0.0
46025,1.0
46026,0.393539
46027,0.007934
46028,0.009473
46029,0.0
46030,0.0
46031,0.0
46032,0.0
46033,0.0
46034,0.0
46035,0.0
46036,0.0
46037,0.0
46038,0.0
46039,0.0
46040,0.0
46041,0.0
46042,0.006541
46043,0.47495
46044,0.556507
46045,0.207113
46046,0.594741
46047,0.937383
46048,0.0
46049,0.134474
46050,0.483591
46051,0.0
46052,0.328392
46053,0.047619
46054,1.0
46055,0.927443
46056,0.95393
46058,0.984594
46059,0.485207
46060,0.215013
46062,0.0
46063,0.0
46064,0.0
46362,0.0
46682,0.000163
46683,0.0
46684,0.00146
46685,0.000239
46686,0.005216
46687,0.111111
46688,0.09375
46689,0.0
46690,0.0
46691,0.0
46692,0.0
46693,0.0
46697,0.0
46698,0.0
46699,0.0
46702,0.0
46703,1.0
46704,0.0
46705,0.0
46706,0.0
46708,1.0
46709,0.801887
46710,0.826715
46711,0.087728
46712,0.010316
46713,0.000511
46714,0.007692
46715,0.007647
46716,0.001038
46717,0.0
46718,0.0
46719,0.0
46720,0.0
46721,0.0
46722,0.0
46723,0.0
46724,0.0
46725,0.062903
46726,0.494975
46727,0.217494
46728,0.57771
46729,0.135874
46730,0.98932
46731,0.684134
46732,0.021926
46733,0.225779
46734,0.032479
46735,0.0
46736,0.695711
46737,0.749413
46738,0.989474
46739,0.702335
46741,1.0
46742,1.0
46743,0.810901
46744,0.302634
46745,0.0
46747,0.0
46748,0.0
46753,0.0
46755,0.0
47040,0.0
47045,0.0
47046,0.0
47047,0.0
47048,0.0
47365,0.0
47366,0.0
47367,0.0
47368,0.0
47369,0.0
47370,0.0
47371,0.0
47372,0.0
47373,0.0
47374,0.0
47375,0.0
47376,0.0
47377,0.0
47380,0.0
47381,0.0
47382,0.0
47383,0.0
47385,1.0
47386,0.139535
47387,0.882353
47388,0.0
47389,0.0
47390,0.0
47391,0.391525
47392,0.964789
47393,0.303364
47394,0.329826
47395,0.037564
47396,0.018794
47397,0.028979
47398,0.003731
47399,0.00956
47400,0.010189
47401,0.00028
47402,0.0
47403,0.0
47404,0.0
47405,0.0
47406,0.003725
47407,0.0
47408,0.030879
47409,0.104135
47410,0.283159
47411,0.399094
47412,0.093403
47413,0.407378
47414,0.948297
47415,0.198148
47416,0.123962
47417,0.278156
47418,0.221922
47419,0.26968
47420,1.0
47421,0.551148
47422,0.823529
47423,0.02046
47424,0.0
47425,1.0
47427,0.042945
47428,0.524394
47429,0.280851
47430,0.0
47431,0.0
47432,0.055676
47433,1.0
47437,0.0
47438,0.0
47439,0.0
47440,0.0
47441,0.0
47442,0.0
47443,0.0
47444,0.0
47445,0.0
47723,0.0
47724,0.0
47725,0.0
47727,0.0
47728,0.0
47729,0.0
47730,0.0
47731,0.0
47732,0.0
47733,0.0
48049,0.0
48050,0.0
48051,0.0
48052,0.0
48053,0.0
48054,0.0
48055,0.0
48056,0.0
48057,0.0
48058,0.0
48059,0.0
48063,0.0
48064,0.0
48065,0.005476
48066,0.0
48067,0.0
48073,0.008287
48074,0.054237
48075,0.52381
48076,0.714986
48077,0.22123
48078,0.035714
48079,0.0
48080,0.0
48081,0.001529
48082,0.021248
48083,0.016693
48084,0.006303
48085,0.01551
48086,0.0
48087,0.0
48088,0.0
48089,0.004995
48090,0.003758
48091,0.044772
48092,0.067373
48093,0.003777
48094,0.009442
48095,0.15783
48096,0.0
48097,0.331215
48098,0.707726
48099,0.076832
48100,0.032232
48101,0.058824
48102,0.059061
48103,0.288352
48104,1.0
48105,0.163539
48106,0.066901
48107,0.709639
48108,0.678906
48109,0.713178
48110,0.92029
48111,0.523691
48112,0.328691
48113,0.291585
48114,0.0
48115,0.0
48116,0.017804
48117,1.0
48121,0.0
48122,0.0
48123,0.0
48124,0.0
48125,0.0
48126,0.0
48127,0.0
48128,0.0
48129,0.0
48130,0.0
48131,0.0
48132,0.0
48133,0.0
48134,0.0
48135,0.0
48407,0.0
48408,0.0
48409,0.0
48410,0.0
48411,0.0
48412,0.0
48413,0.0
48414,0.0
48415,0.0
48416,0.0
48417,0.0
48418,0.0
48733,0.0
48734,0.0
48735,0.0
48736,0.0
48737,0.0
48738,0.0
48739,0.0
48740,0.0
48741,0.0
48743,0.214286
48744,1.0
48747,0.0
48748,0.0
48749,0.0
48750,0.0
48751,0.352941
48752,0.0
48757,0.097701
48758,0.130892
48759,0.0
48760,0.19987
48761,0.0
48762,0.0
48763,0.0
48764,0.0
48765,0.0
48766,0.007741
48767,0.088427
48768,0.037563
48769,0.001665
48770,0.020044
48771,0.014014
48772,0.0
48773,0.008078
48774,0.180225
48775,0.009163
48776,0.0
48777,0.0
48778,0.0
48779,0.011498
48780,0.0
48781,0.006482
48782,0.042105
48783,0.08259
48784,0.018825
48785,0.66474
48786,0.247166
48787,0.982332
48788,1.0
48789,0.261513
48790,0.0
48791,0.432387
48792,0.335763
48793,0.460188
48794,1.0
48795,1.0
48796,0.0
48797,0.091727
48798,0.071617
48799,0.0
48800,1.0
48801,1.0
48805,0.005348
48806,0.0
48807,0.0
48808,0.0
48809,0.0
48810,0.0
48811,0.0
48812,0.0
48813,0.0
48814,0.000326
48815,0.0
48816,0.000548
48817,0.0
48818,0.0
48819,0.002415
48820,0.0
48821,0.0
48822,0.00064
48823,0.0
48824,0.000283
48826,0.058747
49090,0.0
49091,0.0
49092,0.0
49093,0.0
49094,0.0
49095,0.0
49096,0.0
49097,0.0
49098,0.0
49099,0.0
49100,0.0
49101,0.0
49102,0.0
49417,0.0
49418,0.0
49419,0.0
49420,0.0
49421,0.0
49422,0.0
49423,0.0
49424,0.0
49425,0.0
49426,0.0
49427,0.683371
49428,1.0
49430,0.0
49431,0.0
49432,0.0
49433,0.0
49434,0.0
49435,0.067073
49436,0.637363
49437,0.911765
49440,0.0
49441,0.004533
49442,0.280795
49443,0.130802
49444,0.002712
49445,0.020326
49446,0.0
49447,0.013529
49448,0.040202
49449,0.0
49450,0.019377
49451,0.6
49452,0.0
49453,0.0
49454,0.0
49455,0.004847
49456,0.011577
49457,0.008295
49458,0.007243
49459,0.0
49460,0.0
49461,0.0
49462,0.0
49463,0.0
49464,0.0
49465,0.017129
49466,0.002143
49467,0.157768
49468,0.075998
49469,0.490526
49470,0.050847
49471,0.5
49473,0.222222
49475,0.616732
49476,0.200515
49477,0.199736
49478,0.11953
49479,0.027417
49480,0.857143
49481,0.327989
49482,0.494634
49483,0.011111
49484,0.169442
49485,0.551402
49490,0.007223
49491,0.0
49492,0.0
49493,0.0
49494,0.0
49495,0.0
49496,0.0
49497,0.0
49498,0.0
49499,0.001067
49500,0.03588
49501,0.0
49502,0.0
49503,0.0
49504,0.0
49505,0.0
49506,0.0
49507,0.0
49508,0.0
49509,0.01989
49510,0.045122
49511,0.079993
49512,0.038206
49513,0.018435
49514,0.000205
49515,0.058438
49516,0.298793
49517,0.535284
49774,0.0
49775,0.0
49776,0.0
49777,0.0
49778,0.0
49779,0.0
49780,0.0
49781,0.0
49782,0.0
49783,0.0
49784,0.0
49785,0.0
49786,0.0
50101,0.0
50102,0.0
50103,0.0
50104,0.0
50105,0.0
50106,0.0
50107,0.0
50108,0.0
50109,0.0
50110,0.960655
50111,0.890419
50112,0.989744
50113,0.876364
50114,0.0
50115,0.0
50116,0.002954
50117,0.0
50118,0.0
50119,0.0
50120,0.776163
50121,0.0
50122,0.0
50123,0.0
50124,0.595238
50125,0.0
50126,0.14988
50127,0.019626
50128,0.017758
50129,0.290825
50130,0.082994
50131,0.010926
50132,0.00131
50133,0.087741
50134,0.213953
50136,0.027205
50137,0.120168
50138,0.001492
50139,0.0047
50140,0.099387
50141,0.0
50142,0.020417
50143,0.0
50144,0.0
50145,0.0
50146,0.0
50147,0.0
50148,0.0
50149,0.0
50150,0.00069
50151,0.07323
50152,0.050211
50153,0.655172
50154,0.970732
50155,0.135159
50156,0.093525
50157,0.313559
50159,0.669521
50160,0.081104
50161,0.003106
50162,0.264346
50163,0.013208
50164,0.0
50165,0.003261
50166,0.201488
50167,0.0
