sc_point_gid,fed_frac
51519,0.353578
51520,1.0
51521,1.0
51522,1.0
51523,1.0
51524,1.0
51525,0.535326
51526,0.524925
51527,1.0
51528,0.895441
51529,0.242894
51530,0.080307
51531,0.275963
51532,0.009193
51533,0.432169
51534,0.015771
51535,0.019893
51536,0.028115
51537,0.086616
51538,1.0
51539,1.0
51540,1.0
51541,1.0
51543,0.003818
51544,0.0
51545,0.0
51546,0.0
51547,0.0
51548,0.0
51549,0.000822
51550,0.000954
51551,0.018261
51552,0.0
51553,0.0
51554,0.0
51555,0.0
51556,0.0
51557,0.0
51558,0.0
51559,0.0
51560,0.0
51561,0.0
51562,0.053064
51563,0.311614
51564,0.004036
51565,0.0
51566,0.023662
51567,0.104847
51568,0.004598
51569,0.014597
51570,0.022796
51571,0.030095
51572,0.00012
51573,0.092787
51574,0.001897
51575,0.001649
51576,0.002898
51577,0.006515
51578,0.104219
51579,0.030085
51580,0.016453
51581,0.09222
51582,0.087875
51583,0.016315
51584,0.071245
51585,0.030158
51586,0.019151
51587,0.022502
51588,0.047548
51589,0.0
51590,0.0
51591,0.0
51592,0.0
51593,0.0
51659,0.0
51660,0.0
51825,0.0
51826,0.0
51827,0.0
51828,0.0
51829,0.0
51830,0.0
51831,0.0
51832,0.0
51833,0.0
51834,0.0
51835,0.0
51836,0.0
51837,0.0
51838,0.0
51839,0.0
52153,0.002091
52154,0.0
52155,0.0
52156,0.0
52157,0.0
52158,0.0
52159,0.0
52160,0.0
52161,0.0
52162,0.0
52163,0.213579
52164,0.467893
52165,0.026988
52166,0.005831
52167,0.300183
52170,1.0
52171,1.0
52172,1.0
52173,1.0
52174,0.117371
52175,0.0
52176,0.0
52177,0.0
52178,0.0
52179,0.0
52187,0.088527
52188,0.072608
52189,0.258343
52190,0.0
52191,0.029365
52192,0.0
52193,0.0
52194,0.0
52195,0.0
52196,0.041206
52197,0.0
52198,0.0
52199,0.0
52200,0.0
52201,0.0
52202,0.011495
52203,0.759194
52204,1.0
52205,1.0
52206,1.0
52207,1.0
52208,1.0
52209,0.244459
52210,0.022569
52211,1.0
52212,1.0
52213,0.375652
52214,0.031487
52215,0.645566
52216,0.002095
52217,0.791734
52218,0.678738
52219,0.200713
52220,0.030531
52221,0.0
52222,1.0
52223,1.0
52228,0.0
52229,0.002236
52230,0.0
52231,0.0
52232,0.0
52233,0.0
52234,0.0
52235,0.0
52236,0.06878
52237,0.02515
52238,0.08626
52239,0.115819
52240,0.0
52241,0.0
52242,0.0
52243,0.0
52244,0.0
52245,0.0
52246,0.0
52247,0.010223
52248,0.0
52249,0.000208
52250,0.021626
52251,0.029349
52252,0.067475
52253,0.132335
52254,0.2714
52255,0.067062
52256,0.0
52257,0.001916
52258,0.067469
52259,0.078539
52260,0.003563
52261,0.000434
52262,0.045749
52263,0.023022
52264,0.003694
52265,0.01061
52266,0.030559
52267,0.100581
52268,0.018316
52269,0.07131
52270,0.01314
52271,0.013501
52272,0.023053
52273,0.0
52274,0.0
52275,0.0
52276,0.0
52277,0.000518
52278,0.0
52279,0.0
52280,0.0
52281,0.0
52282,0.0
52283,0.0
52284,0.000656
52286,0.0
52287,0.0
52288,0.0
52289,0.0
52343,0.0
52509,0.0
52510,0.0
52511,0.0
52512,0.0
52513,0.0
52514,0.0
52515,0.0
52516,0.0
52517,0.0
52518,0.0
52519,0.0
52520,0.0
52521,0.0
52522,0.0
52523,0.0
52524,0.0
52837,0.0
52838,0.0
52839,0.0
52840,0.0
52841,0.0
52842,0.0
52843,0.0
52844,0.0
52845,0.0
52846,0.0
52847,0.013114
52848,0.2496
52849,0.0
52850,0.050118
52851,1.0
52854,1.0
52855,1.0
52856,1.0
52857,0.129259
52858,0.0
52859,0.0
52860,0.0
52861,0.000606
52862,0.14596
52863,0.038817
52864,0.0
52871,0.0
52872,0.0
52873,0.0
52874,3.1e-05
52875,0.088464
52876,0.122514
52877,0.0
52878,0.001851
52879,8.1e-05
52880,0.005569
52881,0.008873
52882,0.0
52883,0.0
52884,0.0
52885,0.000379
52886,0.101858
52887,0.36472
52888,0.819588
52889,1.0
52890,1.0
52891,1.0
52892,1.0
52893,1.0
52894,0.057579
52895,0.086181
52896,1.0
52897,0.665677
52898,0.018574
52899,0.141032
52900,0.0
52901,0.011868
52902,0.018111
52903,0.215081
52904,0.454257
52905,0.17423
52906,1.0
52907,1.0
52912,0.0
52913,0.0
52914,0.0
52915,0.0
52916,0.0
52917,0.0
52918,0.0
52919,0.0
52920,0.0
52921,2e-05
52922,0.001742
52923,0.059735
52924,0.108625
52925,0.0
52926,0.0
52927,0.0
52928,0.0
52929,0.0
52930,0.0
52931,0.0
52932,0.0
52933,0.0
52934,0.012064
52935,0.0
52936,0.0
52937,0.0
52938,0.008005
52939,0.096108
52940,0.226768
52941,0.167487
52942,0.211114
52943,0.056908
52944,0.0064
52945,0.001129
52946,0.009631
52947,0.016577
52948,0.001183
52949,0.000567
52950,0.007498
52951,0.02119
52952,0.027903
52953,0.061216
52954,0.0
52955,0.0
52956,0.0
52957,0.0
52958,0.0
52959,0.0
52960,0.0
52961,0.0
52962,0.0
52963,0.0
52964,0.0
52965,0.0
52966,0.0
52967,0.0
52968,0.0
52969,0.0
52970,0.0
52971,0.0
52972,0.0
52973,0.0
52974,0.0
52975,0.0
52976,0.0
52977,0.0
52978,0.0
52979,0.0
52980,0.0
52981,0.0
52983,0.0
52984,0.0
52985,0.0
52986,0.0
52987,0.0
53192,0.0
53193,0.0
53194,0.0
53195,0.0
53196,0.0
53197,0.0
53198,0.0
53199,0.0
53200,0.0
53201,0.0
53202,0.0
53203,0.0
53204,0.0
53205,0.0
53206,0.0
53207,0.0
53208,0.0
53524,0.000267
53525,0.0
53526,0.0
53527,0.0
53528,0.0
53529,0.0
53530,0.0
53531,0.0
53532,0.0
53533,0.006168
53534,0.088278
53536,0.008014
53537,0.256
53538,1.0
53540,1.0
53541,0.109381
53542,0.0
53543,0.0
53544,0.0
53545,0.327363
53546,0.820391
53547,0.785454
53548,0.0749
53555,0.0
53556,0.0
53557,0.0
53558,0.0
53559,0.0
53560,0.083915
53561,0.025542
53562,0.145829
53563,0.000554
53564,0.000304
53565,0.00164
53566,0.0
53567,0.0
53568,0.0
53569,0.0
53570,0.112825
53571,0.188549
53572,0.0
53573,0.357967
53574,0.629125
53575,1.0
53576,0.911938
53577,1.0
53578,0.158185
53579,0.068545
53580,1.0
53581,0.04699
53582,0.002351
53583,0.523914
53584,0.0
53585,0.0
53586,0.0
53587,0.0
53588,0.090227
53589,0.808569
53590,0.430673
53591,1.0
53592,1.0
53597,0.0
53598,0.0
53599,0.0
53600,0.0
53601,0.0
53602,0.0
53603,0.0
53604,0.0
53605,0.0
53606,0.0
53607,0.0
53608,0.037144
53609,0.126817
53610,0.06445
53611,0.0
53612,0.001035
53613,0.455208
53614,0.163573
53615,0.0
53616,0.0
53617,0.0
53618,0.0
53619,0.0
53620,0.0
53621,0.002201
53622,0.013052
53623,0.0
53624,0.06927
53625,0.167462
53626,0.052193
53627,0.0
53628,0.474743
53629,0.132047
53630,0.114214
53631,0.099247
53632,0.000301
53633,0.000463
53634,0.02087
53635,0.070718
53636,0.034735
53637,0.033882
53638,0.0
53639,0.0
53640,0.0
53641,0.0
53642,0.0
53643,0.0
53644,0.0
53645,0.0
53646,0.0
53647,0.0
53648,0.0
53649,0.0
53650,0.0
53651,0.0
53652,0.0
53653,0.00234
53654,0.0
53655,0.000661
53656,0.0
53657,0.0
53658,0.0
53659,0.0
53660,0.0
53661,0.0
53662,0.0
53663,0.0
53664,0.0
53665,0.0
53666,0.002551
53667,0.0
53668,0.0
53669,0.0
53670,0.0
53671,0.0
53672,0.0
53673,0.001399
53674,0.0
53675,0.0
53676,0.0
53677,0.0
53678,0.0
53679,0.0
53680,0.0
53681,0.0
53682,0.0
53683,0.0
53684,0.0
53685,0.0
53687,0.0
53688,0.0
53689,0.0
53690,0.0
53691,0.0
53692,0.0
53693,0.0
53694,0.0
53695,0.0
53698,0.0
53701,0.0
53702,0.0
53703,0.0
53705,0.0
53706,0.0
53707,0.0
53708,0.0
53709,0.0
53710,0.0
53712,0.0
53877,0.0
53878,0.0
53879,0.0
53880,0.0
53881,0.0
53882,0.0
53883,0.0
53884,0.0
53885,0.0
53886,0.0
53887,0.0
53888,0.0
53889,0.0
53890,0.0
53891,0.0
53892,0.0
54205,0.007163
54206,0.0
54207,0.0
54208,0.0
54209,0.0
54210,0.0
54211,0.0
54212,0.0
54213,0.0
54214,0.0
54215,0.0
54216,0.383715
54217,0.0
54218,0.081727
54219,0.100828
54220,0.0
54223,1.0
54224,0.00654
54225,0.081881
54226,0.0
54227,0.0
54228,0.056908
54229,0.897204
54230,1.0
54231,1.0
54232,0.98582
54236,0.402336
54238,0.0
54239,0.0
54240,0.0
54241,0.0
54242,0.0
54243,0.0
54244,0.0
54245,0.0
54246,0.0
54247,0.0
54248,0.0
54249,0.0
54250,0.0
54251,0.0
54252,0.0
54253,0.0
54254,0.0
54255,0.0
54256,0.06605
54257,0.064471
54258,0.277182
54259,0.199684
54260,0.597371
54261,1.0
54262,1.0
54263,0.066473
54264,0.027078
54265,0.351809
54266,0.14652
54267,0.432957
54268,0.0
54269,0.0
54270,0.0
54271,0.0
54272,0.01388
54273,0.090608
54274,0.056739
54276,1.0
54281,0.0
54282,0.0
54283,0.000256
54284,0.0
54285,0.000432
54286,0.0
54287,0.0
54288,0.0
54289,0.0
54290,0.0
54291,0.0
54292,0.0
54293,0.0
54294,0.001244
54295,0.000157
54296,0.0
54297,0.257949
54298,0.056848
54299,0.0
54300,0.0
54301,0.0
54302,0.0
54303,0.0
54304,0.0
54305,0.0
54306,0.021921
54307,0.0
54308,0.0
54309,0.0
54310,0.007083
54311,0.027238
54312,0.335374
54313,0.032037
54314,0.257886
54315,0.231237
54316,0.001098
54317,0.0
54318,0.002473
54319,0.013955
54320,0.004953
54321,0.0
54322,0.0
54323,0.0
54324,0.0
54325,0.0
54326,0.0
54327,0.0
54328,0.0
54329,0.0
54330,0.0
54331,0.0
54332,0.0
54333,0.0
54334,0.0
54335,0.0
54336,0.0
54337,0.002787
54338,0.0
54339,0.0
54340,0.0
54341,0.0
54342,0.0
54343,0.0
54344,0.0
54345,0.00021
54346,0.0
54347,0.0
54348,0.0
54349,0.0
54350,0.009232
54351,0.0
54352,0.00035
54353,0.0
54354,0.0
54355,0.0
54356,0.0
54357,0.001856
54358,0.000776
54359,0.0
54360,0.0
54361,0.0
54362,0.0
54363,0.000661
54364,0.0
54365,0.0
54366,0.0
54367,0.0
54368,0.000356
54369,0.000353
54370,0.0
54371,0.0
54372,0.0
54373,0.0
54374,0.0
54375,0.0
54376,0.0
54377,0.0
54378,0.0
54379,0.0
54380,0.0
54381,0.0
54382,0.0
54383,0.0
54384,0.0
54385,0.0
54386,0.0
54387,0.0
54388,0.0
54389,0.0
54390,0.0
54391,0.0
54392,0.0
54393,0.0
54394,0.0
54395,0.0
54396,0.0
54561,0.0
54562,0.0
54563,0.0
54564,0.0
54565,0.0
54566,0.0
54567,0.0
54568,0.0
54569,0.0
54570,0.0
54571,0.0
54572,0.0
54573,0.0
54574,0.0
54575,0.0
54576,0.0
54577,0.0
54888,0.0
54889,0.0
54890,0.0
54891,0.0
54892,0.0
54893,0.0
54894,0.0
54895,0.0
54896,0.0
54897,0.0
54898,0.0
54899,0.009134
54900,0.353027
54901,1.0
54903,1.0
54904,1.0
54905,0.63432
54906,0.314156
54907,0.008402
54908,0.0
54909,0.0
54910,0.0
54911,0.000494
54912,0.545504
54913,0.969227
54914,1.0
54915,0.999427
54916,0.990741
54919,0.0
54920,0.136359
54921,0.040777
54922,0.0
54923,0.0
54924,0.0
54925,0.0
54926,0.0
54927,0.0
54928,0.0
54929,0.170505
54930,0.072326
54931,0.0
54932,0.0
54933,0.0
54934,0.0
54935,0.0
54936,0.0
54937,0.0
54938,0.0
54939,0.0
54940,0.0
54941,0.01574
54943,1.0
54944,1.0
54945,1.0
54946,1.0
54947,1.0
54948,1.0
54949,0.05127
54950,0.0
54951,0.010008
54952,0.0
54953,0.0
54954,0.0
54955,0.0
